,0,1
BiggsCAButte,39.4123876,-121.7127513
WaterfordCAStanislaus,37.6413202,-120.7604834
NicolausCASutter,38.9032305,-121.5777385
GonzalesCAMonterey,36.5066296,-121.4443806
GreenbraeCAMarin,37.9485356,-122.5247031
PattersonCAStanislaus,37.471623,-121.1296949
Rio VistaCASolano,38.1557502,-121.6913439
DunniganCAYolo,38.8851773,-121.9696908
CopperopolisCACalaveras,37.941764,-120.63679473786408
AltaCAPlacer,39.2065653,-120.8113267
WillowsCAColusa,39.5233276,-122.193531
MarysvilleCAYuba,39.1457247,-121.5913516
WintonCAMerced,37.3823369,-120.61853757718696
HilmarCAMerced,37.4085479,-120.8502035
UkiahCAMendocino,39.1501662,-123.2077861
PenngroveCASonoma,38.2996376,-122.6666533
ClarksburgCAYolo,38.4204651,-121.5271772
EspartoCAYolo,38.694590500000004,-122.02136811201629
McClellanCASacramento,39.5536938,-80.2850818
Garden ValleyCAEl Dorado,38.8540675,-120.8593809
OrovilleCAButte,39.5137752,-121.556359
PacificaCASan Mateo,37.6138253,-122.4869194
Los BanosCAMerced,37.0592253,-120.8505342
La GrangeCAStanislaus,37.6635433,-120.4635289
ArbuckleCAColusa,39.0168635,-122.06244153132319
San Juan BautistaCASan Benito,36.8455173,-121.5379894
GeyservilleCASonoma,38.707687,-122.9024964
JennerCASonoma,38.4496365,-123.1155588
StanfordCASanta Clara,37.426540700000004,-122.17029258409187
Oregon HouseCAYuba,39.3562796,-121.2791273
San AndreasCACalaveras,38.187560500000004,-120.67538262555556
WillowsCAGlenn,39.5233276,-122.193531
DobbinsCAYuba,39.3715577,-121.2060694
BrooksCAYolo,38.7415697,-122.1480294
SloughhouseCASacramento,38.4957417,-121.193836
Pollock PinesCAEl Dorado,38.7497125,-120.57766446881607
HoplandCAMendocino,38.9729542,-123.1163918
Discovery BayCAContra Costa,37.914773999999994,-121.59400523623853
AromasCASan Benito,36.87639955,-121.64300356090132
CeresCAStanislaus,37.5949316,-120.9577098
Bay PointCAContra Costa,38.033114499999996,-121.97930381529403
RescueCAEl Dorado,38.7116667,-120.9513889
McclellanCASacramento,39.5536938,-80.2850818
Little RiverCAMendocino,39.2707318,-123.7883473
WatsonvilleCASanta Cruz,36.9092773,-121.7529071
PleasantonCAContra Costa,37.6624312,-121.8746789
Emerald HillsCASan Mateo,32.7167187,-117.081141
Diamond SpringsCAEl Dorado,38.6798266,-120.82119422798166
FeltonCASanta Cruz,37.041588399999995,-122.0770056309627
CoolCAEl Dorado,32.8001288,-98.001153
LivermoreCAContra Costa,37.6820583,-121.7680531
Pine GroveCAAmador,39.3493389,-123.8141821
Rio VistaCASacramento,38.1557502,-121.6913439
Upper LakeCALake,39.1646129,-122.9105515
Clearlake OaksCALake,39.017434,-122.65152068032447
WoodsideCASan Mateo,37.4299388,-122.2538557
AtwaterCAMerced,37.3477174,-120.609084
Sutter CreekCAAmador,38.3929675,-120.8024357
LockefordCASan Joaquin,38.1635297,-121.1499447
CoyoteCASanta Clara,37.2164923,-121.7394174
PescaderoCASan Mateo,37.2516018,-122.3821927
La HondaCASan Mateo,37.3191086,-122.2741352
PioneerCAAmador,38.4318551,-120.5718719
LotusCAEl Dorado,38.801568,-120.9085501
ElvertaCASutter,38.713791,-121.4627326
GustineCAMerced,37.2577171,-120.9988154
BallicoCAMerced,37.4543809,-120.7060337
CloverdaleCASonoma,38.776218,-122.99300818666057
FairfaxCAMarin,37.9872935,-122.5879674
Walnut GroveCASolano,38.250307500000005,-121.50477362611842
PlymouthCAAmador,38.4818531,-120.844659
Port CostaCAContra Costa,38.044824500000004,-122.18442202495345
San FranciscoCASan Mateo,37.7790262,-122.4199061
SmartsvilleCANevada,39.2073932,-121.2985701
Saint HelenaCANapa,38.5052288,-122.4700424
Mount HamiltonCASanta Clara,37.3418834,-121.6430017
North San JuanCANevada,39.369864,-121.1054484
CourtlandCASacramento,38.3310231,-121.568566
Monte SerenoCASanta Clara,37.236333,-121.992458
ApplegateCAPlacer,39.0007303,-120.9924431
GustineCAStanislaus,37.2577171,-120.9988154
FreedomCASanta Cruz,36.9390882,-121.77129750557287
Mountain RanchCACalaveras,38.235224,-120.50680688009352
MercedCAMerced,37.1641544,-120.7678602
ClearlakeCALake,38.9582307,-122.6263728
TurlockCAMerced,37.4946568,-120.8465941
GratonCASonoma,38.438618500000004,-122.86569767534337
PachecoCAContra Costa,37.990188,-122.06975043067993
MaxwellCAColusa,39.2770035,-122.1924067
KentfieldCAMarin,37.9519958,-122.5572116
StevinsonCAMerced,37.3277436,-120.8516178
SomersetCAEl Dorado,41.8523707,-121.991118
CapayCAYolo,39.7965477,-122.084428
HughsonCAStanislaus,37.5969577,-120.8660083
YorkvilleCAMendocino,38.8979586,-123.2144507
WatsonvilleCASanta Clara,36.9092773,-121.7529071
ClaytonCAContra Costa,37.9410341,-121.9357925
Crows LandingCAStanislaus,37.3938244,-121.0715976
Belvedere TiburonCAMarin,37.8771208,-122.4616696
FarmingtonCAStanislaus,37.92664499999999,-120.98535915462384
Rough and ReadyCANevada,39.2295981,-121.138682
ZamoraCAYolo,38.7965684,-121.8819117
WatsonvilleCAMonterey,36.9092773,-121.7529071
GualalaCAMendocino,38.7674439,-123.5298281
MarinaCAMonterey,36.6900986,-121.80062933026213
Emigrant GapCAPlacer,39.296845,-120.6727122
Rough And ReadyCANevada,39.2295981,-121.138682
Point Reyes StationCAMarin,38.087933,-122.81438071794099
Southeast MarinCAMarin,38.0409144,-122.6199638
Soda SpringsCANevada,39.0240651,-123.315841
Moss BeachCASan Mateo,37.5282106,-122.51268355111281
VernalisCASan Joaquin,37.6307636,-121.2871623
LindenCACalaveras,38.0213005,-121.10551382169648
Redwood ValleyCAMendocino,39.26841725,-123.19937042155391
Pebble BeachCAMonterey,36.5672414,-121.9442134
WilliamsCAColusa,39.1546137,-122.149418
Dutch FlatCAPlacer,39.206009,-120.8377169
PaicinesCASan Benito,36.7285708,-121.2785409
OakleyCAContra Costa,37.9974219,-121.7124536
Browns ValleyCAYuba,39.2421139,-121.4091297
SutterCASutter,38.9509675,-121.697088
Gold RiverCASacramento,38.624844499999995,-121.24746121842617
DownievilleCASierra,39.5604439,-120.8282177
Fort BraggCAMendocino,39.4534731,-123.81491141575003
